No,Gu,Code_Dong,Floating(Dong),Floating(Dong)/Floating(Gu),WomenFloting(Dong),WF(Dong)/WF(Gu),WF(Dong)/Floating(Dong),Aroung Market(OX),Average Loan(up/down),Population(Gu),Population(Dong),Risk of new startups,Number of subway passengers (Dong/Year),Number of subway passengers (Dong/Month),Number of subway passengers (Gu/Year),Number of subway passengers (Dong/Month)
1,0,11110515,405984,0.052,97980,0.051,0.241,1,1,164139,13733,52,0,0,213871964,17822664
2,0,11110530,755773,0.097,198200,0.104,0.262,1,1,164139,9702,38,46048729,3837394,213871964,17822664
3,0,11110540,168326,0.022,38850,0.02,0.231,1,1,164139,3122,52,19638303,1636525,213871964,17822664
4,0,11110550,336562,0.043,78449,0.041,0.233,1,1,164139,10785,49,0,0,213871964,17822664
5,0,11110560,484509,0.062,88674,0.046,0.183,1,1,164139,19245,50,0,0,213871964,17822664
6,0,11110570,167765,0.021,30999,0.016,0.185,1,1,164139,8373,53,0,0,213871964,17822664
7,0,11110580,209024,0.027,43854,0.023,0.21,1,1,164139,9614,56,12539175,1044931,213871964,17822664
8,0,11110600,211141,0.027,49191,0.026,0.233,1,1,164139,4705,43,0,0,213871964,17822664
9,0,11110615,1772353,0.227,432676,0.226,0.244,1,1,164139,8557,54,74953513,6246126,213871964,17822664
10,0,11110630,523243,0.067,100990,0.053,0.193,1,1,164139,5718,62,0,0,213871964,17822664
11,0,11110640,606452,0.078,182328,0.095,0.301,1,1,164139,8795,49,31807427,2650619,213871964,17822664
12,0,11110650,953777,0.122,318358,0.166,0.334,1,1,164139,20512,43,0,0,213871964,17822664
13,0,11110670,315738,0.04,63715,0.033,0.202,1,1,164139,6356,49,14535093,1211258,213871964,17822664
14,0,11110680,230220,0.029,40611,0.021,0.176,1,1,164139,10348,41,0,0,213871964,17822664
15,0,11110690,103352,0.013,21938,0.011,0.212,1,1,164139,7564,48,0,0,213871964,17822664
16,0,11110700,194550,0.025,37494,0.02,0.193,1,1,164139,6897,57,6625267,552106,213871964,17822664
17,0,11110710,385620,0.049,88002,0.046,0.228,1,1,164139,10111,52,7724457,643705,213871964,17822664
18,0,11140520,846974,0.117,246080,0.131,0.291,1,1,133868,2724,57,17103307,1425276,312755291,26062941
19,0,11140540,739949,0.102,186605,0.099,0.252,1,1,133868,5973,43,103650566,8637547,312755291,26062941
20,0,11140550,1093594,0.151,345743,0.184,0.316,1,1,133868,3492,49,53662754,4471896,312755291,26062941
21,0,11140570,419387,0.058,113719,0.061,0.271,1,1,133868,4906,53,23643086,1970257,312755291,26062941
22,0,11140580,324484,0.045,97373,0.052,0.3,1,1,133868,5690,46,9160776,763398,312755291,26062941
23,0,11140590,604493,0.083,163090,0.087,0.27,1,1,133868,5912,50,33133845,2761154,312755291,26062941
24,0,11140605,471039,0.065,87357,0.046,0.185,1,1,133868,1806,53,34476579,2873048,312755291,26062941
25,0,11140615,673875,0.093,172395,0.092,0.256,1,1,133868,9582,46,5767823,480652,312755291,26062941
26,0,11140625,397992,0.055,91945,0.049,0.231,1,1,133868,15488,44,1748633,145719,312755291,26062941
27,0,11140635,380337,0.052,81382,0.043,0.214,1,1,133868,18474,57,12869668,1072472,312755291,26062941
28,0,11140645,300309,0.041,65532,0.035,0.218,1,1,133868,15058,46,0,0,312755291,26062941
29,0,11140650,279668,0.038,60296,0.032,0.216,1,1,133868,9938,52,17538254,1461521,312755291,26062941
30,0,11140665,214985,0.03,45991,0.024,0.214,1,1,133868,11410,43,0,0,312755291,26062941
31,0,11140670,324524,0.045,75452,0.04,0.233,1,1,133868,13077,48,0,0,312755291,26062941
32,0,11140680,193678,0.027,46080,0.025,0.238,1,1,133868,10338,50,0,0,312755291,26062941
33,0,11170510,349127,0.048,79269,0.043,0.227,1,0,243924,18935,49,0,0,68918594,5743216
34,0,11170520,285440,0.039,72200,0.039,0.253,1,0,243924,12431,44,5562921,463577,68918594,5743216
35,0,11170530,499837,0.069,133139,0.072,0.266,1,0,243924,8650,43,12220171,1018348,68918594,5743216
36,0,11170555,625100,0.086,211677,0.115,0.339,1,0,243924,21446,52,0,0,68918594,5743216
37,0,11170560,427724,0.059,109451,0.059,0.256,1,0,243924,15067,38,0,0,68918594,5743216
38,0,11170570,315498,0.044,70003,0.038,0.222,1,0,243924,15257,35,0,0,68918594,5743216
39,0,11170580,246113,0.034,63408,0.034,0.258,1,0,243924,9574,44,5155027,429586,68918594,5743216
40,0,11170590,254754,0.035,53427,0.029,0.21,1,0,243924,12754,57,0,0,68918594,5743216
41,0,11170625,1230125,0.17,320496,0.174,0.261,1,0,243924,17316,51,18980967,1581747,68918594,5743216
42,0,11170630,683618,0.094,139494,0.076,0.204,1,0,243924,28920,47,0,0,68918594,5743216
43,0,11170640,164288,0.023,31242,0.017,0.19,1,0,243924,9270,58,0,0,68918594,5743216
44,0,11170650,345440,0.048,98484,0.054,0.285,1,0,243924,8752,43,13635210,1136268,68918594,5743216
45,0,11170660,302733,0.042,84380,0.046,0.279,1,0,243924,10918,47,0,0,68918594,5743216
46,0,11170685,812243,0.112,224715,0.122,0.277,1,0,243924,23620,49,5872971,489414,68918594,5743216
47,0,11170690,431980,0.06,85968,0.047,0.199,1,0,243924,14361,60,7491327,624277,68918594,5743216
48,0,11170700,271413,0.037,62594,0.034,0.231,1,0,243924,16654,43,0,0,68918594,5743216
49,0,11200520,338539,0.04,81029,0.04,0.239,1,0,312492,17603,49,9223526,768627,110544081,9212007
50,0,11200535,510723,0.06,118452,0.059,0.232,1,0,312492,27362,57,0,0,110544081,9212007
51,0,11200540,648849,0.076,141397,0.07,0.218,1,0,312492,24291,53,4502573,375214,110544081,9212007
52,0,11200550,665870,0.078,215958,0.107,0.324,1,0,312492,12869,48,0,0,110544081,9212007
53,0,11200560,787128,0.092,207319,0.103,0.263,1,0,312492,14449,39,26180644,2181720,110544081,9212007
54,0,11200570,420330,0.049,91650,0.045,0.218,1,0,312492,25454,51,5773233,481103,110544081,9212007
55,0,11200580,333366,0.039,70456,0.035,0.211,1,0,312492,16701,42,0,0,110544081,9212007
56,0,11200590,388688,0.046,89409,0.044,0.23,1,0,312492,13274,48,4381526,365127,110544081,9212007
57,0,11200615,556792,0.065,117180,0.058,0.21,1,0,312492,24713,58,0,0,110544081,9212007
