No,Code_Dong,Floating(Dong),Floating(Dong)/Floating(Gu),WomenFloting(Dong),WF(Dong)/WF(Gu),WF(Dong)/Floating(Dong),Aroung Market(OX),Average Loan(up/down),Population(Gu),Population(Dong),Risk of new startups,Number of subway passengers (Dong/Year),Number of subway passengers (Dong/Month),Number of subway passengers (Gu/Year),Number of subway passengers (Dong/Month)
1,11110515,405984,0.052,97980,0.051,0.241,1,1,164139,13733,52,0,0,213871964,17822664
2,11110530,755773,0.097,198200,0.104,0.262,1,1,164139,9702,38,46048729,3837394,213871964,17822664
3,11110540,168326,0.022,38850,0.02,0.231,1,1,164139,3122,52,19638303,1636525,213871964,17822664
4,11110550,336562,0.043,78449,0.041,0.233,1,1,164139,10785,49,0,0,213871964,17822664
5,11110560,484509,0.062,88674,0.046,0.183,1,1,164139,19245,50,0,0,213871964,17822664
6,11110570,167765,0.021,30999,0.016,0.185,1,1,164139,8373,53,0,0,213871964,17822664
7,11110580,209024,0.027,43854,0.023,0.21,1,1,164139,9614,56,12539175,1044931,213871964,17822664
8,11110600,211141,0.027,49191,0.026,0.233,1,1,164139,4705,43,0,0,213871964,17822664
9,11110615,1772353,0.227,432676,0.226,0.244,1,1,164139,8557,54,74953513,6246126,213871964,17822664
10,11140590,604493,0.083,163090,0.087,0.27,1,1,133868,5912,50,33133845,2761154,312755291,26062941
11,11140605,471039,0.065,87357,0.046,0.185,1,1,133868,1806,53,34476579,2873048,312755291,26062941
12,11140615,673875,0.093,172395,0.092,0.256,1,1,133868,9582,46,5767823,480652,312755291,26062941
13,11140625,397992,0.055,91945,0.049,0.231,1,1,133868,15488,44,1748633,145719,312755291,26062941
14,11140635,380337,0.052,81382,0.043,0.214,1,1,133868,18474,57,12869668,1072472,312755291,26062941
15,11140650,279668,0.038,60296,0.032,0.216,1,1,133868,9938,52,17538254,1461521,312755291,26062941
16,11140670,324524,0.045,75452,0.04,0.233,1,1,133868,13077,48,0,0,312755291,26062941
17,11140680,193678,0.027,46080,0.025,0.238,1,1,133868,10338,50,0,0,312755291,26062941
18,11170510,349127,0.048,79269,0.043,0.227,1,0,243924,18935,49,0,0,68918594,5743216
19,11170520,285440,0.039,72200,0.039,0.253,1,0,243924,12431,44,5562921,463577,68918594,5743216
20,11170530,499837,0.069,133139,0.072,0.266,1,0,243924,8650,43,12220171,1018348,68918594,5743216
21,11170555,625100,0.086,211677,0.115,0.339,1,0,243924,21446,52,0,0,68918594,5743216
22,11170560,427724,0.059,109451,0.059,0.256,1,0,243924,15067,38,0,0,68918594,5743216
23,11170570,315498,0.044,70003,0.038,0.222,1,0,243924,15257,35,0,0,68918594,5743216
24,11170580,246113,0.034,63408,0.034,0.258,1,0,243924,9574,44,5155027,429586,68918594,5743216
25,11170590,254754,0.035,53427,0.029,0.21,1,0,243924,12754,57,0,0,68918594,5743216
26,11170625,1230125,0.17,320496,0.174,0.261,1,0,243924,17316,51,18980967,1581747,68918594,5743216
27,11200550,665870,0.078,215958,0.107,0.324,1,0,312492,12869,48,0,0,110544081,9212007
28,11200580,333366,0.039,70456,0.035,0.211,1,0,312492,16701,42,0,0,110544081,9212007
29,11200590,388688,0.046,89409,0.044,0.23,1,0,312492,13274,48,4381526,365127,110544081,9212007
30,11200615,556792,0.065,117180,0.058,0.21,1,0,312492,24713,58,0,0,110544081,9212007
31,11200620,223498,0.026,45871,0.023,0.205,1,0,312492,14492,38,6074277,506190,110544081,9212007
32,11200645,760274,0.089,175469,0.087,0.231,1,0,312492,27364,42,7534395,627866,110544081,9212007
